"species","dataset","tissue","condition","n","ngenes","design","assay","sample_type","accession","citation","license","file","status","note"
"baboon","GSE98965","KIM","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_KIM_All.rds","ingested",NA
"baboon","GSE98965","AMY","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_AMY_All.rds","ingested",NA
"baboon","GSE98965","ARC","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_ARC_All.rds","ingested",NA
"baboon","GSE98965","CER","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_CER_All.rds","ingested",NA
"baboon","GSE98965","HAB","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_HAB_All.rds","ingested",NA
"baboon","GSE98965","HIP","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_HIP_All.rds","ingested",NA
"baboon","GSE98965","LGP","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_LGP_All.rds","ingested",NA
"baboon","GSE98965","LH","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_LH_All.rds","ingested",NA
"baboon","GSE98965","MGP","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_MGP_All.rds","ingested",NA
"baboon","GSE98965","MMB","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_MMB_All.rds","ingested",NA
"baboon","GSE98965","OLB","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_OLB_All.rds","ingested",NA
"baboon","GSE98965","PON","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_PON_All.rds","ingested",NA
"baboon","GSE98965","PRA","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_PRA_All.rds","ingested",NA
"baboon","GSE98965","PRC","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_PRC_All.rds","ingested",NA
"baboon","GSE98965","PUT","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_PUT_All.rds","ingested",NA
"baboon","GSE98965","PVN","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_PVN_All.rds","ingested",NA
"baboon","GSE98965","SCN","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_SCN_All.rds","ingested",NA
"baboon","GSE98965","SON","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_SON_All.rds","ingested",NA
"baboon","GSE98965","SUN","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_SUN_All.rds","ingested",NA
"baboon","GSE98965","THA","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_THA_All.rds","ingested",NA
"baboon","GSE98965","VIC","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_VIC_All.rds","ingested",NA
"baboon","GSE98965","VMH","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_VMH_All.rds","ingested",NA
"baboon","GSE98965","AOR","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_AOR_All.rds","ingested",NA
"baboon","GSE98965","HEA","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_HEA_All.rds","ingested",NA
"baboon","GSE98965","MUA","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_MUA_All.rds","ingested",NA
"baboon","GSE98965","MUG","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_MUG_All.rds","ingested",NA
"baboon","GSE98965","ANT","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_ANT_All.rds","ingested",NA
"baboon","GSE98965","ASC","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_ASC_All.rds","ingested",NA
"baboon","GSE98965","CEC","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_CEC_All.rds","ingested",NA
"baboon","GSE98965","DEC","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_DEC_All.rds","ingested",NA
"baboon","GSE98965","DUO","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_DUO_All.rds","ingested",NA
"baboon","GSE98965","ILE","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_ILE_All.rds","ingested",NA
"baboon","GSE98965","OES","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_OES_All.rds","ingested",NA
"baboon","GSE98965","SMM","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_SMM_All.rds","ingested",NA
"baboon","GSE98965","STF","All",12,4938,"active","microarray","in_vivo","GSE98965","Mure et al. 2018 (Science)","CC-BY","baboon/GSE98965_STF_All.rds","ingested",NA
"mouse","GSE54651","ADR","All",8,15836,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_ADR_All.rds","ingested",NA
"mouse","GSE54651","AOR","All",8,15468,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_AOR_All.rds","ingested",NA
"mouse","GSE54651","CER","All",8,15546,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_CER_All.rds","ingested",NA
"mouse","GSE54651","HEA","All",8,14776,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_HEA_All.rds","ingested",NA
