"species","dataset","tissue","tissue_canonical","design","condition","n","ngenes","tod_min","tod_max","tod_sd","tod_n_unique","tod_cycles","tod_step_hr","tod_phases","r_median_top300","r_q25_top300","r_q75_top300","prop_rhythmic"
"rat","GSE20635","Adipose","Adipose","active","All",52,31099,0.2,23.8,7.33,18,0.98,"irregular","0.25..23.8 (18 phases)",1.532,1.353,1.794,0.124
"rat","GSE8988","Liver","Liver","active","All",54,15923,0.2,23.8,7.37,18,0.98,"irregular","0.25..23.8 (18 phases)",2.009,1.797,2.476,0.1975
"rat","GSE8989","Muscle","Muscle","active","All",54,15923,0.2,23.8,7.37,18,0.98,"irregular","0.25..23.8 (18 phases)",1.423,1.274,1.779,0.1267
"rat","GSE127919","SCN","Suprachiasmatic nuclei","active","LCM",36,25615,2,7,2.08,3,0.21,"irregular","   2,   5,   7",5.854,3.967,9.154,0.0823
"mouse","GSE54650","Adrenal_gland","Adrenal gland","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.045,1.872,2.338,0.0756
"mouse","GSE54650","Aorta","Aorta","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.038,1.854,2.364,0.0687
"mouse","GSE54650","Brown_adipose","Brown adipose","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.526,2.329,2.97,0.1339
"mouse","GSE54650","Brainstem","Brainstem","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.788,1.67,2.07,0.0608
"mouse","GSE54650","Cerebellum","Cerebellum","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.779,1.666,2.032,0.0648
"mouse","GSE54650","Heart","Heart","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.35,2.167,2.768,0.0836
"mouse","GSE54650","Hypothalamus","Hypothalamus","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.559,1.465,1.764,0.0497
"mouse","GSE54650","Kidney","Kidney","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",3.145,2.82,3.694,0.1777
"mouse","GSE54650","Liver","Liver","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",3.226,2.96,3.653,0.2041
"mouse","GSE54650","Lung","Lung","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",3.007,2.667,3.474,0.1561
"mouse","GSE54650","Muscle","Muscle","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.981,1.773,2.329,0.0562
